Loyalty Number,flights_12m,distance_12m,pts_acc_12m,pts_red_12m,dollar_red_12m,active_months,max_month_flights,recency,flights_h1,flights_h2,trend,trend_ratio,flights_l3m,redeem_ratio,avg_dist_per_flight,ever_redeemed,Salary,salary_missing,Gender,Education,Marital Status,Loyalty Card,Enrollment Type,enroll_ym,cancel_ym,CLV,Province,City,tenure_months,is_active,churn_prob,log_prob,seg_raw,segment,segment_name,card_w,fv_flights,fv_pts,future_value_score,risk_band
100585,20,33414,33414.0,1437,259,5,5,0.0,9,11,2,1.1,4,0.0430046386353434,1670.7,1,96269.0,0,Male,Bachelor,Divorced,Star,Standard,24167,,7334.33,Manitoba,Winnipeg,61,True,0.034226538744487,0.0516161416147881,3,2,Loyalists,1,24.0,32270.354434391716,0.4601,Low
100590,28,30948,46422.0,512,92,3,12,5.0,16,12,-4,0.7058823529411765,0,0.011029015789587,1105.2857142857142,1,69841.0,0,Female,Bachelor,Married,Star,2018 Promotion,24219,,34090.04,British Columbia,Vancouver,9,True,0.0440982565231306,0.0077246876406933,2,5,Casual / Emerging,1,16.8,44374.87073568323,0.5705,Low
100642,15,19467,19467.0,0,0,7,4,1.0,4,11,7,2.2,5,0.0,1297.8,0,51667.0,0,Female,Bachelor,Married,Nova,Standard,24149,,4892.63,Quebec,Quebec City,79,True,0.0348152493205827,0.0957355541284288,0,3,Steady Flyers,2,25.5,18789.251541476217,0.3676,Low
100644,11,11811,11811.0,1356,244,6,2,1.0,4,7,3,1.4,4,0.1147985099898408,1073.7272727272727,1,94440.0,0,Female,Master,Divorced,Star,Standard,24187,,4458.11,Alberta,Peace River,41,True,0.0348152493205827,0.0515479376580026,3,2,Loyalists,1,14.3,11399.797090274598,0.2851,Low
100646,18,24270,24270.0,559,101,8,6,1.0,10,8,-2,0.7272727272727273,2,0.0230316014997321,1348.3333333333333,1,101933.0,0,Female,Bachelor,Married,Star,Standard,24190,,2471.53,Newfoundland,St. John's,38,True,0.0360487981038529,0.0071426466700278,0,3,Steady Flyers,1,14.4,23395.09567001949,0.3231,Low
100727,27,40711,40711.0,1145,206,9,6,0.0,17,10,-7,0.5555555555555556,4,0.0281243859304382,1507.8148148148148,1,128118.0,0,Male,Master,Married,Nova,Standard,24171,,3873.65,Quebec,Tremblant,57,True,0.034226538744487,0.0161453131675844,3,2,Loyalists,2,8.100000000000001,39317.60338117319,0.3799,Low
100737,29,43501,43501.0,1802,325,10,5,1.0,14,15,1,1.0,4,0.0414233828329732,1500.0344827586207,1,73455.0,1,Female,College,Single,Star,Standard,24208,,12786.67,British Columbia,Vancouver,20,True,0.0348152493205827,0.004542501761183,3,2,Loyalists,1,31.9,41986.50183930533,0.5787,Low
100753,15,22923,22923.0,410,74,5,6,3.0,12,3,-9,0.2307692307692307,0,0.017885185831443,1528.2,1,47717.0,0,Male,Bachelor,Divorced,Star,Standard,24190,,2534.31,Quebec,Quebec City,38,True,0.0412657653839577,0.0222359717909003,0,3,Steady Flyers,1,3.0,21977.06486010354,0.1931,Low
100816,18,27272,27272.0,0,0,8,4,0.0,5,13,8,2.1666666666666665,6,0.0,1515.111111111111,0,97497.0,0,Female,Master,Divorced,Aurora,Standard,24159,,6273.91,Ontario,Ottawa,69,True,0.034226538744487,0.0473686644086804,0,3,Steady Flyers,3,32.4,26338.573835360352,0.5152,Low
100853,19,21519,21519.0,0,0,5,5,1.0,5,14,9,2.333333333333333,6,0.0,1132.578947368421,0,73455.0,1,Male,College,Married,Star,Standard,24193,,10153.89,Ontario,Trenton,35,True,0.0348152493205827,0.0538514999934796,2,5,Casual / Emerging,1,36.1,20769.810649870386,0.4961,Low
100883,21,31025,31025.0,0,0,7,6,0.0,7,14,7,1.75,8,0.0,1477.3809523809523,0,73455.0,1,Female,College,Single,Star,Standard,24162,,3561.04,Manitoba,Winnipeg,66,True,0.034226538744487,0.0355630601615704,3,2,Loyalists,1,35.7,29963.12163545229,0.4704,Low
100890,16,20262,20262.0,1271,229,7,4,0.0,4,12,8,2.4,5,0.0627251640921877,1266.375,1,73455.0,1,Female,College,Divorced,Nova,Standard,24176,,8007.4,Ontario,Toronto,52,True,0.034226538744487,0.0480898154529941,3,2,Loyalists,2,28.8,19568.501871959204,0.4411,Low
101018,19,37430,37430.0,1186,214,7,4,1.0,10,9,-1,0.8181818181818182,5,0.0316849670059576,1970.0,1,56523.0,0,Female,Bachelor,Married,Nova,Standard,24172,,4392.98,Ontario,Thunder Bay,56,True,0.0348152493205827,0.0314461744787878,3,2,Loyalists,2,17.1,36126.865217930594,0.3833,Low
101148,9,18136,18136.0,325,59,4,3,0.0,4,5,1,1.0,5,0.0179191707559133,2015.111111111111,1,45229.0,0,Female,High School or Below,Single,Nova,Standard,24155,,4770.55,British Columbia,West Vancouver,73,True,0.0380591305460488,0.1154227877117272,0,3,Steady Flyers,2,9.9,17445.759608416858,0.2541,Low
101356,0,0,0.0,0,0,0,0,12.0,0,0,0,0.0,0,0.0,0.0,0,50688.0,0,Male,Bachelor,Married,Nova,Standard,24155,,7482.64,Ontario,Toronto,73,False,0.4979887436893953,0.798664511405426,4,4,At-Risk Lapsed,2,0.0,0.0,0.1495,High
101363,16,23324,23324.0,934,168,5,4,0.0,8,8,0,0.8888888888888888,5,0.040042872454448,1457.75,1,59310.0,0,Female,Bachelor,Married,Star,Standard,24196,,12898.59,New Brunswick,Fredericton,32,True,0.034226538744487,0.0241135584248262,3,2,Loyalists,1,16.0,22525.700210323583,0.3849,Low
101487,27,37065,37065.0,977,176,9,5,0.0,7,20,13,2.5,8,0.0263583877407867,1372.7777777777778,1,91817.0,0,Male,Bachelor,Married,Aurora,Standard,24156,,14024.36,Quebec,Montreal,72,True,0.034226538744487,0.0381985836184932,3,2,Loyalists,3,62.1,35796.39334143559,0.8094,Low
101515,12,21045,21045.0,737,133,5,3,1.0,3,9,6,2.25,6,0.0350185308372137,1753.75,1,68711.0,0,Male,Bachelor,Married,Nova,Standard,24169,,7737.27,New Brunswick,Fredericton,59,True,0.0348152493205827,0.1081117421902352,0,3,Steady Flyers,2,19.200000000000003,20312.313078048337,0.3751,Low
101540,19,28517,28517.0,931,168,8,5,0.0,8,11,3,1.2222222222222223,7,0.0326460481099656,1500.8947368421052,1,69020.0,0,Female,Bachelor,Single,Star,Standard,24209,,2688.88,Ontario,London,19,True,0.034226538744487,0.0046262415867892,3,2,Loyalists,1,24.7,27540.961794623465,0.3774,Low
101544,23,31672,31672.0,1722,310,9,6,0.0,13,10,-3,0.7142857142857143,8,0.0543680737536703,1377.0434782608695,1,56531.0,0,Female,Bachelor,Married,Nova,Standard,24172,,24249.34,Quebec,Montreal,56,True,0.034226538744487,0.0141674474611636,3,2,Loyalists,2,16.099999999999998,30587.97706488461,0.5144,Low
101547,17,32918,32918.0,576,104,7,6,1.0,6,11,5,1.5714285714285714,2,0.0174974938485373,1936.3529411764705,1,73455.0,1,Female,College,Married,Star,Standard,24214,,5619.69,Ontario,Toronto,14,True,0.0360487981038529,0.0047194272224101,2,5,Casual / Emerging,1,25.5,31731.34566401737,0.4304,Low
101581,18,25434,25434.0,556,100,7,6,1.0,5,13,8,2.1666666666666665,6,0.0218596422252801,1413.0,1,87781.0,0,Male,Bachelor,Married,Star,Standard,24154,,4595.46,Ontario,Toronto,74,True,0.0348152493205827,0.0430113336732033,3,2,Loyalists,1,32.4,24548.5089487803,0.4502,Low
101594,27,39810,39810.0,940,169,10,5,0.0,14,13,-1,0.8666666666666667,8,0.0236115646429378,1474.4444444444443,1,239867.0,0,Male,Doctor,Divorced,Star,Standard,24188,,5205.75,Ontario,Toronto,40,True,0.034226538744487,0.0085166981418856,3,2,Loyalists,1,24.3,38447.44149258197,0.4766,Low
101644,2,2974,2974.0,0,0,1,2,0.0,0,2,2,2.0,2,0.0,1487.0,0,101038.0,0,Female,Master,Married,Star,Standard,24227,,8382.63,Ontario,Toronto,1,True,0.0343621534348746,0.05371767536543,2,5,Casual / Emerging,1,2.4,2871.806955684683,0.2158,Low
101663,18,24326,24326.0,0,0,7,4,0.0,6,12,6,1.7142857142857142,7,0.0,1351.4444444444443,0,94946.0,0,Male,Bachelor,Married,Aurora,Standard,24201,,5129.74,Ontario,Toronto,27,True,0.034226538744487,0.0164451161297277,3,2,Loyalists,3,28.8,23493.405218501608,0.4676,Low
101664,18,26989,26989.0,0,0,8,5,0.0,11,7,-4,0.5833333333333334,2,0.0,1499.388888888889,0,87654.0,0,Male,Bachelor,Married,Aurora,Standard,24163,,9002.41,Nova Scotia,Halifax,65,True,0.0354399946591926,0.0210641746529914,0,3,Steady Flyers,3,10.8,26032.509984143053,0.39,Low
101768,1,1733,1733.0,0,0,1,1,0.0,0,1,1,1.0,1,0.0,1733.0,0,70267.0,0,Male,Bachelor,Single,Nova,Standard,24225,,13916.93,British Columbia,West Vancouver,3,True,0.0884307280637802,0.0617840034652632,2,5,Casual / Emerging,2,1.1,1579.749548265469,0.2403,Low
101895,8,12001,12001.0,0,0,5,3,0.0,1,7,6,3.5,3,0.0,1500.125,0,81883.0,0,Female,Bachelor,Single,Nova,Standard,24158,,24543.2,Ontario,Ottawa,70,True,0.0354399946591926,0.1323522378303836,0,3,Steady Flyers,2,12.8,11575.68462409503,0.4402,Low
101902,47,83972,83972.0,814,147,12,7,0.0,19,28,9,1.4,14,0.0096935919879008,1786.6382978723404,1,73455.0,1,Female,College,Married,Aurora,Standard,24205,,6265.34,Ontario,London,23,True,0.0359579021236971,0.0018870741475446,1,1,Champions,3,89.3,80952.54304286891,0.8266,Low
101945,20,28563,28563.0,1219,219,9,4,0.0,9,11,2,1.1,5,0.042676095784904,1428.15,1,86098.0,0,Male,Bachelor,Married,Star,Standard,24167,,4202.66,Nova Scotia,Halifax,61,True,0.034226538744487,0.0191943183846512,3,2,Loyalists,1,24.0,27585.38737384122,0.403,Low
102168,25,40495,40495.0,0,0,8,6,0.0,10,15,5,1.3636363636363635,7,0.0,1619.8,0,75265.0,0,Female,Bachelor,Divorced,Nova,Standard,24217,,7166.34,Ontario,Toronto,11,True,0.034226538744487,0.0044262664066791,3,2,Loyalists,2,37.5,39108.996313542,0.5703,Low
102184,22,32385,32385.0,0,0,7,7,0.0,5,17,12,2.833333333333333,7,0.0,1472.0454545454545,0,76887.0,0,Male,Bachelor,Married,Star,Standard,24196,,4923.18,Alberta,Peace River,32,True,0.0359579021236971,0.0100990205156187,3,2,Loyalists,1,48.400000000000006,31220.50333972407,0.5733,Low
102207,11,20407,20407.0,0,0,4,5,3.0,9,2,-7,0.2,0,0.0,1855.1818181818185,0,86413.0,0,Male,Bachelor,Divorced,Nova,Standard,24149,,6960.92,Quebec,Montreal,79,True,0.0371227239315998,0.1533331588213784,0,3,Steady Flyers,2,3.3000000000000007,19649.43657272784,0.2792,Low
102299,26,32360,32360.0,0,0,8,6,1.0,12,14,2,1.0769230769230769,3,0.0,1244.6153846153843,0,73455.0,1,Female,College,Single,Star,Standard,24187,,2089.34,Manitoba,Winnipeg,41,True,0.0360487981038529,0.0152669821288411,0,3,Steady Flyers,1,31.2,31193.460893359323,0.4329,Low
102308,0,0,0.0,0,0,0,0,12.0,0,0,0,0.0,0,0.0,0.0,0,73455.0,1,Male,College,Single,Star,Standard,24227,,12866.89,Quebec,Montreal,1,False,0.0337287394585179,0.2654335080412152,4,4,At-Risk Lapsed,1,0.0,0.0,0.2035,Low
102311,21,31259,31259.0,1396,252,8,4,2.0,14,7,-7,0.4666666666666667,1,0.0446577095329494,1488.5238095238096,1,76485.0,0,Female,Bachelor,Single,Star,Standard,24202,,7507.46,Ontario,Toronto,26,True,0.0360487981038529,0.0093368521394397,0,3,Steady Flyers,1,6.300000000000001,30132.150620071665,0.3199,Low
102376,73,79580,119370.0,556,100,6,24,0.0,28,45,17,1.5517241379310345,15,0.0046577476941635,1090.13698630137,1,73455.0,1,Male,College,Single,Aurora,2018 Promotion,24219,,12765.78,Ontario,Sudbury,9,True,0.0359579021236971,0.0005138528772184,1,1,Champions,3,197.1,115077.70522349428,0.8859,Low
102464,8,12007,12007.0,0,0,4,3,2.0,5,3,-2,0.5,3,0.0,1500.875,0,60563.0,0,Male,Bachelor,Married,Star,Standard,24199,,2725.68,Quebec,Montreal,29,True,0.0360487981038529,0.0418923441930814,2,5,Casual / Emerging,1,6.4,11574.162081167038,0.1869,Low
102615,2,4556,4556.0,0,0,1,2,2.0,0,2,2,2.0,2,0.0,2278.0,0,51630.0,0,Female,Doctor,Married,Aurora,Standard,24225,,7590.05,Saskatchewan,Regina,3,True,0.0884307280637802,0.0964498945976158,2,5,Casual / Emerging,3,2.4,4153.1096029414175,0.2004,Low
102726,17,22060,22060.0,920,165,7,4,0.0,7,10,3,1.25,5,0.0417025520148678,1297.6470588235295,1,84147.0,0,Male,Bachelor,Married,Nova,Standard,24212,,8044.87,Saskatchewan,Regina,16,True,0.034226538744487,0.0107009412889611,3,2,Loyalists,2,22.1,21304.962555296617,0.4152,Low
102730,27,41890,41890.0,0,0,9,6,0.0,8,19,11,2.111111111111111,10,0.0,1551.4814814814815,0,80919.0,0,Male,High School or Below,Single,Star,Standard,24216,,2453.57,New Brunswick,Moncton,12,True,0.034226538744487,0.0030105737637378,3,2,Loyalists,1,56.7,40456.25029199344,0.6455,Low
102740,5,8927,8927.0,0,0,2,4,0.0,0,5,5,5.0,5,0.0,1785.4,0,100571.0,0,Female,Bachelor,Married,Star,Standard,24222,,16922.13,Ontario,Toronto,6,True,0.0884307280637802,0.0498506072107632,2,5,Casual / Emerging,1,7.5,8137.578890574635,0.3475,Low
102788,84,135657,203485.5,0,0,8,20,0.0,21,63,42,2.863636363636364,21,0.0,1614.9642857142858,0,31170.0,0,Male,Bachelor,Single,Nova,2018 Promotion,24219,,11124.21,Quebec,Montreal,9,True,0.0399763421296234,0.0001192601921126,1,1,Champions,2,252.0,195350.8940335825,0.8143,Low
102851,19,26985,26985.0,397,71,8,4,1.0,14,5,-9,0.3333333333333333,3,0.0147113318016749,1420.2631578947369,1,60216.0,0,Female,Bachelor,Single,Star,Standard,24176,,19435.63,British Columbia,Vancouver,52,True,0.0360487981038529,0.0172356785885556,0,3,Steady Flyers,1,3.8,26012.22318316753,0.3807,Low
102877,17,27659,27659.0,440,79,5,6,3.0,9,8,-1,0.8,0,0.0159074475777295,1627.0,1,73455.0,1,Female,College,Married,Nova,Standard,24175,,2863.04,Ontario,Trenton,53,True,0.0371227239315998,0.0538039096392315,0,3,Steady Flyers,2,15.3,26632.222578775883,0.3354,Low
102982,22,19110,19110.0,0,0,8,5,0.0,5,17,12,2.833333333333333,6,0.0,868.6363636363636,0,84442.0,0,Male,Bachelor,Married,Aurora,Standard,24203,,5235.57,British Columbia,Dawson Creek,25,True,0.034226538744487,0.0152877487093589,3,2,Loyalists,3,48.400000000000006,18455.93084459285,0.565,Low
103043,16,22462,22462.0,0,0,6,4,0.0,6,10,4,1.4285714285714286,3,0.0,1403.875,0,97920.0,0,Male,Bachelor,Married,Star,Standard,24228,,3351.21,Ontario,Thunder Bay,0,True,0.0399973296116335,0.0070981856933584,2,5,Casual / Emerging,1,22.4,21563.579982263487,0.3717,Low
103151,13,23572,23572.0,505,91,6,4,0.0,4,9,5,1.8,5,0.0214228142366266,1813.2307692307693,1,64962.0,0,Female,Bachelor,Married,Aurora,Standard,24161,,32613.69,British Columbia,Vancouver,67,True,0.034226538744487,0.0503463854474433,0,3,Steady Flyers,3,19.5,22765.212028714952,0.5294,Low
103217,22,32576,32576.0,0,0,6,4,0.0,10,12,2,1.0909090909090908,8,0.0,1480.7272727272727,0,73455.0,1,Male,College,Single,Star,Standard,24166,,6439.33,Quebec,Montreal,62,True,0.034226538744487,0.0728798551574766,0,3,Steady Flyers,1,26.4,31461.03627385959,0.4426,Low
103304,15,24960,24960.0,0,0,9,4,1.0,6,9,3,1.2857142857142858,2,0.0,1664.0,0,67227.0,0,Male,Bachelor,Married,Star,Standard,24166,,2683.47,Alberta,Banff,62,True,0.0360487981038529,0.0175011328387435,0,3,Steady Flyers,1,19.5,24060.221999327838,0.3279,Low
103340,13,17814,17814.0,0,0,5,4,2.0,3,10,7,2.5,2,0.0,1370.3076923076924,0,73455.0,1,Male,College,Single,Star,Standard,24207,,7577.07,British Columbia,Vancouver,21,True,0.0360487981038529,0.0322368346631316,2,5,Casual / Emerging,1,22.1,17171.826710577967,0.3675,Low
103359,35,61767,61767.0,0,0,11,5,0.0,14,21,7,1.4,12,0.0,1764.7714285714285,0,73455.0,1,Female,College,Single,Star,Standard,24195,,4502.87,British Columbia,Vancouver,33,True,0.034226538744487,0.0045768548825667,3,2,Loyalists,1,59.5,59652.92938136927,0.7528,Low
103362,3,4485,4485.0,0,0,1,3,1.0,0,3,3,3.0,3,0.0,1495.0,0,73455.0,1,Male,College,Single,Star,Standard,24226,,4807.0,Quebec,Tremblant,2,True,0.0884307280637802,0.064641867511737,2,5,Casual / Emerging,1,3.9,4088.388184633946,0.1717,Low
103436,25,43698,43698.0,308,55,9,5,0.0,10,15,5,1.3636363636363635,6,0.0070482162063205,1747.92,1,67445.0,0,Male,Bachelor,Single,Star,Standard,24161,,5015.01,Quebec,Montreal,67,True,0.034226538744487,0.0146112264227079,3,2,Loyalists,1,37.5,42202.36870994341,0.5391,Low
103490,27,40862,40862.0,0,0,9,5,0.0,12,15,3,1.1538461538461535,7,0.0,1513.4074074074074,0,65543.0,0,Male,High School or Below,Single,Nova,Standard,24163,,17651.96,British Columbia,Dawson Creek,65,True,0.034226538744487,0.0222157583120613,3,2,Loyalists,2,35.1,39463.43517382277,0.6428,Low
103502,10,19396,19396.0,0,0,4,3,0.0,4,6,2,1.2,3,0.0,1939.6,0,66226.0,0,Male,Bachelor,Married,Star,Standard,24209,,2580.85,Ontario,Toronto,19,True,0.0354399946591926,0.0248925786492026,2,5,Casual / Emerging,1,12.0,18708.605863590303,0.256,Low
103536,28,35974,35974.0,539,97,9,5,0.0,16,12,-4,0.7058823529411765,12,0.0149826268241834,1284.7857142857142,1,73455.0,1,Female,College,Married,Nova,Standard,24154,,9202.64,British Columbia,Vancouver,74,True,0.034226538744487,0.0554212621895017,3,2,Loyalists,2,16.8,34742.73449520583,0.4357,Low
103699,24,36719,36719.0,0,0,8,5,0.0,11,13,2,1.0833333333333333,8,0.0,1529.9583333333333,0,86388.0,0,Male,Bachelor,Single,Nova,Standard,24217,,5595.39,Alberta,Peace River,11,True,0.034226538744487,0.0056883758654541,3,2,Loyalists,2,28.8,35462.23572384118,0.4955,Low
103731,17,34370,34370.0,489,88,6,5,1.0,13,4,-9,0.2857142857142857,2,0.0142271100637165,2021.764705882353,1,90487.0,0,Female,Bachelor,Married,Nova,Standard,24193,,4015.34,Manitoba,Winnipeg,35,True,0.0360487981038529,0.0145595450559106,0,3,Steady Flyers,2,3.4000000000000004,33131.002809170575,0.3113,Low
103758,18,27295,27295.0,0,0,5,5,0.0,0,18,18,18.0,5,0.0,1516.388888888889,0,103461.0,0,Female,Bachelor,Single,Star,Standard,24222,,14727.51,British Columbia,Vancouver,6,True,0.0964040320749471,0.1822473799220676,2,5,Casual / Emerging,1,50.4,24663.65194451432,0.6743,Low
103823,17,21525,21525.0,549,99,8,5,0.0,8,9,1,1.0,6,0.0255040416240825,1266.1764705882354,1,52820.0,0,Female,High School or Below,Married,Nova,Standard,24178,,4812.53,Ontario,Toronto,50,True,0.034226538744487,0.0146957719617062,3,2,Loyalists,2,18.700000000000003,20788.27375352492,0.332,Low
103860,19,34958,34958.0,1327,238,9,4,2.0,13,6,-7,0.4285714285714285,2,0.03795875168054,1839.8947368421047,1,75348.0,0,Male,Bachelor,Married,Nova,Standard,24173,,3358.53,Ontario,Thunder Bay,55,True,0.0360487981038529,0.0182668874883269,0,3,Steady Flyers,2,5.700000000000001,33697.80611588551,0.3082,Low
103862,22,37552,37552.0,2139,384,9,4,0.0,10,12,2,1.0909090909090908,5,0.0569594972438953,1706.909090909091,1,299560.0,0,Female,Doctor,Married,Star,Standard,24163,,4878.83,Ontario,Kingston,65,True,0.034226538744487,0.0248963940976926,3,2,Loyalists,1,26.4,36266.72501706702,0.4784,Low
103916,15,27597,27597.0,0,0,5,6,0.0,6,9,3,1.2857142857142858,1,0.0,1839.8,0,60894.0,0,Female,High School or Below,Married,Star,Standard,24171,,3803.92,Alberta,Edmonton,57,True,0.0354399946591926,0.0242890723896248,0,3,Steady Flyers,1,19.5,26618.96246739026,0.3425,Low
103969,13,15136,15136.0,385,69,6,5,0.0,8,5,-3,0.5555555555555556,2,0.0254343661227455,1164.3076923076924,1,52405.0,0,Male,Bachelor,Married,Aurora,Standard,24184,,31410.93,Ontario,Ottawa,44,True,0.0354399946591926,0.0176698966972482,0,3,Steady Flyers,3,9.1,14599.58024083846,0.4173,Low
103970,26,33616,33616.0,0,0,10,5,0.0,13,13,0,0.9285714285714286,8,0.0,1292.923076923077,0,221857.0,0,Female,Doctor,Married,Aurora,Standard,24190,,8257.67,British Columbia,Dawson Creek,38,True,0.034226538744487,0.0096882405645536,3,2,Loyalists,3,26.0,32465.440673565325,0.5247,Low
103975,15,18061,18061.0,1102,198,4,5,0.0,0,15,15,15.0,10,0.0610120695382571,1204.0666666666666,1,71775.0,0,Male,Bachelor,Married,Star,Standard,24224,,2411.26,Ontario,Toronto,4,True,0.1013647653027756,0.1745460870541519,2,5,Casual / Emerging,1,37.5,16230.25097386657,0.4145,Medium
103985,4,6269,6269.0,0,0,3,2,0.0,0,4,4,4.0,2,0.0,1567.25,0,73455.0,1,Male,College,Single,Nova,Standard,24225,,2761.69,Ontario,Toronto,3,True,0.0858357516990989,0.0554317160670204,2,5,Casual / Emerging,2,5.6,5730.895672598349,0.1873,Low
104103,8,5944,5944.0,0,0,3,5,4.0,6,2,-4,0.2857142857142857,0,0.0,743.0,0,73455.0,1,Male,College,Married,Nova,Standard,24197,,8262.88,British Columbia,Vancouver,31,True,0.0457382114462912,0.0703687202193341,2,5,Casual / Emerging,2,4.8,5672.132071163245,0.2321,Low
104267,38,61606,92409.0,0,0,5,16,0.0,27,11,-16,0.3928571428571428,11,0.0,1621.2105263157894,0,28642.0,0,Male,Bachelor,Married,Star,2018 Promotion,24219,,2701.04,Ontario,Sudbury,9,True,0.0399763421296234,0.0005180432284081,3,2,Loyalists,1,7.6,88714.82620014362,0.3675,Low
104353,16,27230,27230.0,0,0,6,4,0.0,7,9,2,1.125,5,0.0,1701.875,0,104140.0,0,Male,Bachelor,Married,Star,Standard,24169,,15777.89,Saskatchewan,Regina,59,True,0.034226538744487,0.0420443687421032,0,3,Steady Flyers,1,19.2,26298.01134998762,0.4895,Low
104431,20,39559,39559.0,499,90,7,6,0.0,5,15,10,2.5,8,0.0126137512639029,1977.95,1,243591.0,0,Female,Doctor,Married,Nova,Standard,24179,,2822.59,Manitoba,Winnipeg,49,True,0.034226538744487,0.020467849712278,3,2,Loyalists,2,40.0,38205.03235380684,0.5721,Low
104541,24,28156,28156.0,702,126,11,4,0.0,7,17,10,2.125,9,0.0249316333416202,1173.1666666666667,1,64827.0,0,Female,Bachelor,Married,Nova,Standard,24159,,8621.0,Ontario,Toronto,69,True,0.034226538744487,0.0244775527241435,3,2,Loyalists,2,48.0,27192.317575110224,0.5935,Low
104586,15,28087,28087.0,473,85,7,4,1.0,6,9,3,1.2857142857142858,3,0.0168399316434064,1872.4666666666667,1,86609.0,0,Male,Bachelor,Divorced,Aurora,Standard,24204,,7772.58,Ontario,Ottawa,24,True,0.0360487981038529,0.0101308198196724,0,3,Steady Flyers,3,19.5,27074.497407657083,0.4382,Low
104673,26,34157,34157.0,0,0,9,7,0.0,9,17,8,1.7,7,0.0,1313.7307692307693,0,60006.0,0,Male,Bachelor,Married,Aurora,Standard,24154,,14723.41,Ontario,Sudbury,74,True,0.0359579021236971,0.0222019749621057,3,2,Loyalists,3,46.8,32928.78593716088,0.6767,Low
